,0
0,Florida
1,Louisiana
2,Massachusetts
3,Nevada
4,North Dakota
5,Oklahoma
6,Oregon
7,Pennsylvania
8,Rhode Island
9,South Carolina
10,South Dakota
11,Tennessee
12,Texas
13,Utah
14,Vermont
15,West Virginia
16,Wisconsin
17,Wyoming
